order_id,sku,quantity,order_date,unit_product_price,demand
ORD120987,XVX,2,2025-12-17,23.0,High
ORD123135,WFV,4,2025-07-23,6.0,High
ORD153770,LAU,7,2026-03-22,5.0,High
ORD178672,IPE,3,2026-05-02,20.0,Medium
ORD128184,QAG,1,2025-11-13,18.0,High
ORD149621,KCJ,4,2026-03-18,10.0,High
ORD141871,YZD,6,2025-09-17,15.0,High
ORD148437,RYE,3,2025-07-20,16.0,High
ORD101732,DXB,1,2025-06-17,8.0,High
ORD152334,QEU,10,2025-10-31,23.0,Medium
ORD126249,KCJ,4,2025-10-01,10.0,High
ORD134313,ZGM,1,2025-09-08,17.0,High
ORD182501,MDN,1,2025-06-09,14.0,High
ORD184334,WRS,8,2026-04-25,18.0,High
ORD116485,PKF,4,2025-11-26,16.0,Medium
ORD148563,CBB,6,2025-06-28,20.0,High
ORD153027,OIT,5,2025-12-07,20.0,Medium
ORD137403,FLH,3,2026-04-21,10.0,High
ORD131895,JZT,3,2025-11-04,17.0,High
ORD145565,RNL,4,2026-04-01,19.0,High
ORD173229,CSM,1,2025-06-12,14.0,Medium
ORD158906,FLH,9,2025-07-25,10.0,High
ORD150577,FCY,4,2026-01-06,18.0,High
ORD181437,MDN,10,2026-02-04,14.0,High
ORD105345,ZQH,8,2025-12-26,9.0,High
ORD126756,PSJ,4,2025-06-27,7.0,High
ORD113601,NFQ,4,2026-01-29,10.0,High
ORD198798,YYO,4,2026-01-11,13.0,High
ORD154988,RCW,9,2026-03-13,23.0,High
ORD112133,QAG,5,2025-12-03,18.0,High
ORD103756,CQK,3,2025-11-25,7.0,Medium
ORD195643,RBX,10,2026-03-21,21.0,High
ORD189704,WXE,2,2025-09-06,12.0,High
ORD107643,GRT,4,2025-07-04,8.0,Medium
ORD190382,GIJ,4,2025-07-31,18.0,Low
ORD162412,EVW,10,2026-02-21,7.0,High
ORD142448,LRX,1,2025-11-19,18.0,Low
ORD187568,WFV,3,2025-07-21,6.0,High
ORD179158,EVW,6,2026-04-06,7.0,High
ORD195623,SCN,4,2025-06-16,20.0,High
ORD109810,KCJ,4,2026-03-24,10.0,High
ORD141753,JPK,9,2025-10-09,19.0,Medium
ORD162235,FKQ,4,2025-12-19,13.0,High
ORD125845,WXE,2,2026-02-11,12.0,High
ORD150033,BES,4,2026-04-09,15.0,High
ORD186721,KCJ,2,2026-04-13,10.0,High
ORD130413,CXQ,3,2026-05-22,17.0,High
ORD165682,MJP,2,2025-06-15,22.0,Low
ORD129815,WRS,4,2026-05-28,18.0,High
ORD165140,GWD,3,2025-07-31,24.0,High
ORD152802,WRS,7,2025-06-25,18.0,High
ORD137943,CGW,7,2025-10-25,11.0,Medium
ORD102277,PKF,1,2026-01-13,16.0,Medium
ORD136651,JZT,10,2026-02-19,17.0,High
ORD196449,FKQ,1,2025-07-21,13.0,High
ORD176440,FFE,1,2025-06-03,5.0,Medium
ORD170071,CEG,2,2026-02-03,15.0,High
ORD136120,OQN,2,2025-06-06,18.0,High
ORD180784,OQN,10,2025-08-29,18.0,High
ORD153599,ADM,10,2025-11-20,20.0,High
ORD183242,CXQ,2,2025-06-03,17.0,High
ORD193941,DXB,8,2026-01-16,8.0,High
ORD137854,SCN,2,2026-05-28,20.0,High
ORD147655,CZS,1,2025-06-23,6.0,Medium
ORD152996,RCW,1,2025-09-29,23.0,High
ORD105649,XVX,1,2026-04-19,23.0,High
ORD128772,TAW,3,2026-05-19,17.0,Medium
ORD158498,YBM,1,2025-12-02,5.0,Low
ORD148432,JUG,4,2026-05-21,17.0,High
ORD123193,WFV,7,2025-10-18,6.0,High
ORD117779,LER,3,2025-07-21,20.0,High
ORD124424,OVY,4,2026-02-15,8.0,Medium
ORD181194,WXE,4,2026-01-11,12.0,High
ORD138483,WAN,4,2026-03-20,25.0,Medium
ORD118243,VMG,6,2026-01-31,22.0,Medium
ORD132219,MDN,1,2025-06-12,14.0,High
ORD121365,LPS,2,2026-03-06,25.0,High
ORD191697,RCW,4,2025-11-03,23.0,High
ORD183422,FFE,2,2025-08-29,5.0,Medium
ORD159834,RNL,7,2025-11-28,19.0,High
ORD186155,WOW,9,2025-10-30,15.0,High
ORD131866,BES,6,2026-03-04,15.0,High
ORD192921,NRZ,2,2026-01-03,18.0,High
ORD149125,OYF,3,2025-12-02,6.0,High
ORD141320,SCN,6,2025-06-12,20.0,High
ORD161472,FLH,2,2025-10-12,10.0,High
ORD103420,MDN,3,2026-02-21,14.0,High
ORD195158,PSJ,2,2025-12-06,7.0,High
ORD138840,ZUW,6,2026-03-03,22.0,Medium
ORD182988,RRI,4,2025-08-22,11.0,Medium
ORD170740,WOW,4,2025-09-25,15.0,High
ORD158983,SNC,1,2026-03-07,12.0,High
ORD138535,CAT,5,2026-02-25,12.0,Low
ORD193224,UYZ,4,2025-07-15,22.0,Low
ORD127253,SPC,1,2026-04-30,7.0,High
ORD168414,WRS,6,2025-06-06,18.0,High
ORD187835,JLQ,3,2025-07-17,23.0,High
ORD142442,LRX,3,2026-04-28,18.0,Low
ORD158931,RCW,2,2025-12-11,23.0,High
ORD157620,NUD,3,2025-12-31,11.0,High
ORD120234,EVW,2,2025-08-25,7.0,High
ORD181307,LQT,2,2025-12-18,20.0,Medium
ORD191997,QMW,3,2026-05-09,25.0,High
ORD145359,JLQ,4,2025-09-30,23.0,High
ORD185176,FJZ,6,2025-10-21,12.0,Medium
ORD179863,OJI,1,2025-06-04,12.0,Medium
ORD157202,WOW,3,2025-07-07,15.0,High
ORD145932,FCY,10,2025-12-07,18.0,High
ORD170223,XJB,3,2025-10-31,8.0,Low
ORD149298,RBX,9,2025-10-10,21.0,High
ORD108676,XMO,3,2026-05-17,24.0,Medium
ORD127786,JZT,1,2026-03-10,17.0,High
ORD105869,JUG,2,2025-09-03,17.0,High
ORD186708,CEG,8,2025-09-28,15.0,High
ORD182497,LRX,6,2025-09-10,18.0,Low
ORD150651,RBX,1,2026-05-23,21.0,High
ORD149472,XJB,6,2025-10-01,8.0,Low
ORD120972,LNZ,10,2025-08-18,12.0,Medium
ORD153517,RNL,1,2026-05-23,19.0,High
ORD170181,WRS,4,2025-11-28,18.0,High
ORD130677,ARU,2,2025-11-14,21.0,Medium
ORD198243,OIT,10,2026-05-12,20.0,Medium
ORD112311,MJP,1,2026-03-07,22.0,Low
ORD195465,ZQH,8,2026-05-11,9.0,High
ORD177730,WRS,8,2026-01-04,18.0,High
ORD102561,EVW,4,2026-01-04,7.0,High
ORD137700,OQN,3,2026-03-16,18.0,High
ORD127159,NRZ,7,2025-09-15,18.0,High
ORD162428,OJI,1,2025-11-08,12.0,Medium
ORD170400,ESQ,1,2025-10-10,13.0,Low
ORD146305,BES,3,2026-01-08,15.0,High
ORD127674,MBW,3,2025-11-05,9.0,Medium
ORD105090,QMW,8,2025-10-01,25.0,High
ORD134198,VJG,4,2025-08-20,10.0,High
ORD127761,NFQ,6,2026-02-09,10.0,High
ORD180253,CWA,1,2026-01-20,20.0,High
ORD129452,ZGM,7,2025-11-08,17.0,High
ORD187200,QEU,4,2026-03-10,23.0,Medium
ORD119648,JUG,8,2025-09-01,17.0,High
ORD152268,QMW,1,2025-08-13,25.0,High
ORD186815,RIJ,8,2026-03-03,12.0,Low
ORD135967,RNL,3,2025-06-27,19.0,High
ORD186212,CEG,6,2026-05-08,15.0,High
ORD178269,JUC,4,2026-02-25,10.0,Medium
ORD170373,INT,2,2025-08-13,18.0,Low
ORD111699,ZGM,3,2026-02-08,17.0,High
ORD120785,MGM,2,2026-02-21,12.0,Low
ORD177915,FJZ,3,2025-10-31,12.0,Medium
ORD114218,OQN,1,2026-04-11,18.0,High
ORD139858,SPC,2,2025-10-11,7.0,High
ORD121245,JUG,7,2026-05-06,17.0,High
ORD145949,RNL,2,2026-02-09,19.0,High
ORD101704,LER,3,2026-03-24,20.0,High
ORD128894,FLH,2,2026-01-26,10.0,High
ORD174427,VQB,4,2026-03-08,14.0,Low
ORD115707,ZQH,9,2026-03-07,9.0,High
ORD150281,CWA,3,2025-07-04,20.0,High
ORD110528,RYE,7,2025-12-17,16.0,High
ORD187870,KCJ,5,2026-02-23,10.0,High
ORD112475,EVW,1,2026-02-04,7.0,High
ORD129090,WOW,1,2026-04-30,15.0,High
ORD153381,XMO,5,2026-05-04,24.0,Medium
ORD189712,CWA,3,2026-04-26,20.0,High
ORD128646,WFV,2,2026-04-29,6.0,High
ORD183414,FJZ,2,2026-01-08,12.0,Medium
ORD177613,KCJ,4,2026-04-02,10.0,High
ORD199937,SMS,1,2025-08-15,23.0,Medium
ORD155027,SPC,4,2025-11-19,7.0,High
ORD136917,SCN,10,2025-09-15,20.0,High
ORD100281,FLH,4,2026-05-21,10.0,High
ORD151913,RYE,4,2025-08-01,16.0,High
ORD175684,PSJ,4,2025-07-29,7.0,High
ORD123373,XRZ,1,2025-06-15,23.0,Medium
ORD112408,BRX,2,2025-09-01,15.0,Low
ORD102421,OQN,4,2026-02-04,18.0,High
ORD109918,FKQ,6,2026-02-28,13.0,High
ORD148917,RNL,4,2025-07-09,19.0,High
ORD160563,YYO,4,2025-09-14,13.0,High
ORD116421,OZB,2,2025-12-02,19.0,High
ORD145356,YZD,1,2026-01-31,15.0,High
ORD147555,NFQ,3,2026-03-12,10.0,High
ORD199854,VKI,1,2025-09-10,6.0,Medium
ORD117832,ZSI,1,2026-04-01,18.0,Low
ORD139211,YZD,2,2025-06-14,15.0,High
ORD114337,IGP,2,2025-12-25,9.0,High
ORD133782,RNL,7,2025-11-03,19.0,High
ORD186569,PSJ,1,2026-03-16,7.0,High
ORD196481,IGP,1,2025-09-12,9.0,High
ORD163742,CWA,3,2026-03-04,20.0,High
ORD133881,ADM,3,2026-04-24,20.0,High
ORD172793,YZD,3,2026-02-18,15.0,High
ORD113537,ADM,4,2025-12-05,20.0,High
ORD199844,VGB,2,2026-01-07,6.0,Low
ORD172866,JPK,2,2025-09-18,19.0,Medium
ORD187643,WXE,10,2025-08-28,12.0,High
ORD173620,JUG,1,2025-12-17,17.0,High
ORD140870,NMS,2,2025-09-23,16.0,Low
ORD189660,JLQ,3,2025-12-06,23.0,High
ORD123830,SCN,8,2026-03-05,20.0,High
ORD112294,NRZ,4,2026-05-22,18.0,High
ORD129035,CEG,8,2025-06-30,15.0,High
ORD160767,JUG,2,2026-03-09,17.0,High
ORD159991,JUG,2,2026-02-14,17.0,High
ORD162143,YOK,8,2025-12-18,14.0,Medium
ORD188796,CQO,1,2026-05-03,5.0,High
ORD160267,OZB,2,2025-06-19,19.0,High
ORD157909,OBP,2,2025-07-18,5.0,Low
ORD165926,WRS,2,2025-10-18,18.0,High
ORD180968,RRI,4,2025-09-15,11.0,Medium
ORD132381,CXQ,2,2025-08-06,17.0,High
ORD195353,FCY,7,2026-01-12,18.0,High
ORD113614,YZD,6,2025-10-31,15.0,High
ORD196416,NUD,3,2025-12-02,11.0,High
ORD116906,BRX,9,2026-03-18,15.0,Low
ORD101851,FKQ,3,2025-11-27,13.0,High
ORD155351,SCN,3,2025-06-18,20.0,High
ORD185038,WFV,3,2026-04-03,6.0,High
ORD157246,OZB,3,2026-01-19,19.0,High
ORD186612,XMO,9,2025-07-19,24.0,Medium
ORD197107,NRZ,9,2025-06-06,18.0,High
ORD185291,JUG,3,2026-01-19,17.0,High
ORD168558,SCN,1,2025-11-23,20.0,High
ORD116891,LPS,5,2026-02-10,25.0,High
ORD165963,LER,4,2026-03-24,20.0,High
ORD158494,PSJ,1,2025-09-06,7.0,High
ORD127048,WFV,1,2026-03-19,6.0,High
ORD181586,OVY,2,2025-09-21,8.0,Medium
ORD185425,IFG,3,2025-07-03,23.0,High
ORD193889,RBX,9,2025-12-28,21.0,High
ORD146108,JUG,6,2025-06-10,17.0,High
ORD110346,NNV,3,2026-03-04,12.0,Low
ORD110742,OYF,1,2025-07-28,6.0,High
ORD109413,ZUW,3,2025-07-02,22.0,Medium
ORD110109,WXE,1,2025-11-24,12.0,High
ORD175426,NRZ,2,2025-12-17,18.0,High
ORD149605,CZS,5,2026-03-15,6.0,Medium
ORD171623,EGB,8,2026-05-04,13.0,Low
ORD185892,RCW,6,2026-05-08,23.0,High
ORD150988,FJZ,8,2025-12-24,12.0,Medium
ORD128300,FCY,5,2025-11-12,18.0,High
ORD132384,LPS,7,2026-01-28,25.0,High
ORD184680,LMQ,4,2025-09-18,20.0,High
ORD177037,CGW,1,2025-11-21,11.0,Medium
ORD129741,FCY,1,2026-05-07,18.0,High
ORD174401,YBM,5,2025-11-03,5.0,Low
ORD199426,OQN,4,2026-03-12,18.0,High
ORD166075,CWA,9,2025-06-08,20.0,High
ORD121726,CWA,2,2025-12-14,20.0,High
ORD111392,FLH,7,2025-12-01,10.0,High
ORD199653,WRS,1,2025-09-19,18.0,High
ORD112464,IGP,8,2026-03-24,9.0,High
ORD106511,MZV,7,2026-04-03,8.0,Medium
ORD182845,SNY,3,2025-09-16,15.0,Medium
ORD121322,JUG,10,2025-12-19,17.0,High
ORD172495,ARU,4,2025-08-02,21.0,Medium
ORD170202,MWM,1,2025-08-03,14.0,Medium
ORD103281,ADM,1,2025-08-30,20.0,High
ORD112122,FJZ,10,2026-05-26,12.0,Medium
ORD146912,GRT,2,2025-11-22,8.0,Medium
ORD159354,JZT,3,2026-04-23,17.0,High
ORD129937,WFV,1,2025-11-24,6.0,High
ORD127122,RYE,1,2026-02-13,16.0,High
ORD107384,CQO,7,2026-03-04,5.0,High
ORD112891,NRP,2,2026-01-15,15.0,High
ORD119053,NRZ,4,2026-03-02,18.0,High
ORD163698,QAG,10,2025-07-07,18.0,High
ORD188084,KCJ,4,2025-10-20,10.0,High
ORD132326,XMO,3,2025-12-24,24.0,Medium
ORD121118,FJZ,1,2026-03-08,12.0,Medium
ORD174237,EVW,6,2025-10-02,7.0,High
ORD190835,ZQH,4,2025-11-26,9.0,High
ORD192974,FKQ,2,2025-08-05,13.0,High
ORD163241,ZDV,2,2025-07-25,25.0,Medium
ORD176541,WRS,3,2026-04-27,18.0,High
ORD136484,DXB,2,2025-11-10,8.0,High
ORD138437,FLH,3,2026-05-04,10.0,High
ORD188783,ADM,7,2025-08-07,20.0,High
ORD117104,VKI,1,2026-03-22,6.0,Medium
ORD169808,SPC,6,2025-10-23,7.0,High
ORD178546,IGP,6,2026-04-05,9.0,High
ORD169026,NFQ,9,2026-02-07,10.0,High
ORD157513,MDN,9,2025-06-19,14.0,High
ORD161807,FLH,3,2026-01-26,10.0,High
ORD112577,NFQ,4,2025-12-20,10.0,High
ORD105089,CBB,2,2025-10-19,20.0,High
ORD178077,RYE,4,2025-12-31,16.0,High
ORD143940,WXE,1,2025-11-12,12.0,High
ORD176607,OZB,7,2026-01-10,19.0,High
ORD140222,OQN,10,2026-01-12,18.0,High
ORD166911,YZD,9,2026-03-12,15.0,High
ORD114540,THQ,8,2025-08-17,5.0,Low
ORD164301,RNL,2,2026-02-04,19.0,High
ORD133353,RBX,9,2025-06-30,21.0,High
ORD172663,MDN,3,2026-01-10,14.0,High
ORD183889,JUG,7,2026-02-17,17.0,High
ORD186717,JUG,3,2025-11-17,17.0,High
ORD115778,CEG,3,2026-02-15,15.0,High
ORD121706,NFQ,2,2026-02-22,10.0,High
ORD195554,ZQH,3,2025-07-23,9.0,High
ORD160366,QJK,4,2026-01-12,23.0,Low
ORD197938,DXB,8,2025-09-17,8.0,High
ORD116982,LMQ,4,2026-03-05,20.0,High
ORD176049,KCJ,2,2025-12-11,10.0,High
ORD111556,ZQH,3,2026-05-12,9.0,High
ORD147210,YYO,4,2025-11-21,13.0,High
ORD123831,JLQ,1,2025-11-30,23.0,High
ORD145338,LNZ,10,2026-03-16,12.0,Medium
ORD133729,JLQ,2,2026-03-14,23.0,High
ORD161150,NRP,3,2025-07-18,15.0,High
ORD153789,JVR,1,2025-08-17,17.0,Medium
ORD110395,VMG,4,2025-10-23,22.0,Medium
ORD113597,FKQ,2,2025-11-04,13.0,High
ORD185796,NRP,4,2025-10-10,15.0,High
ORD160188,JVR,5,2026-01-20,17.0,Medium
ORD154306,KYB,3,2025-06-11,18.0,Medium
ORD158194,LAU,4,2025-06-18,5.0,High
ORD156244,ROB,8,2025-06-14,15.0,Low
ORD171036,FJZ,10,2025-11-11,12.0,Medium
ORD158443,CWA,1,2025-08-06,20.0,High
ORD160148,CBB,3,2025-11-04,20.0,High
ORD102498,DRD,4,2025-12-14,17.0,Low
ORD121372,NRZ,4,2026-03-01,18.0,High
ORD183773,RCW,3,2025-11-26,23.0,High
ORD194069,CEG,7,2025-10-13,15.0,High
ORD108901,PKF,2,2026-02-18,16.0,Medium
ORD121162,RNZ,2,2026-03-22,10.0,Medium
ORD124725,CXQ,5,2026-02-11,17.0,High
ORD117984,IFG,2,2026-01-31,23.0,High
ORD158525,JZT,9,2026-05-13,17.0,High
ORD178153,CXQ,3,2026-02-15,17.0,High
ORD163109,YZD,4,2026-01-18,15.0,High
ORD170134,FFE,9,2025-09-16,5.0,Medium
ORD121126,WFV,1,2026-01-30,6.0,High
ORD105601,RBX,3,2026-05-01,21.0,High
ORD156216,CBB,3,2026-01-02,20.0,High
ORD112421,RCW,6,2025-06-12,23.0,High
ORD147990,RCW,4,2026-04-27,23.0,High
ORD112356,NRP,6,2025-10-03,15.0,High
ORD141749,NRP,8,2025-08-04,15.0,High
ORD110252,CAT,2,2025-07-14,12.0,Low
ORD147255,GXL,2,2025-10-23,11.0,Medium
ORD100448,IGP,7,2025-07-07,9.0,High
ORD197103,WFV,1,2026-03-05,6.0,High
ORD112364,ZDV,4,2025-12-24,25.0,Medium
ORD104955,YZD,7,2026-03-09,15.0,High
ORD187710,XVX,2,2026-03-11,23.0,High
ORD120075,VGB,5,2026-01-16,6.0,Low
ORD156652,BES,10,2025-07-01,15.0,High
ORD193824,MBW,6,2026-04-26,9.0,Medium
ORD109613,OZB,3,2025-11-11,19.0,High
ORD102738,EVW,8,2026-05-16,7.0,High
ORD134751,OQN,1,2025-06-08,18.0,High
ORD134278,IFG,1,2026-03-01,23.0,High
ORD174678,KRU,1,2026-03-30,16.0,Low
ORD165640,EGB,1,2025-11-12,13.0,Low
ORD158645,RYE,3,2026-05-16,16.0,High
ORD119898,RYE,5,2025-06-18,16.0,High
ORD172928,IFG,9,2026-03-25,23.0,High
ORD148244,OZB,1,2026-04-19,19.0,High
ORD106061,ESQ,3,2026-04-29,13.0,Low
ORD127703,IGP,8,2025-10-18,9.0,High
ORD162597,EVW,7,2026-02-14,7.0,High
ORD127333,DEW,1,2025-08-07,19.0,Low
ORD164275,FNU,4,2025-10-12,8.0,Low
ORD145023,JVR,8,2025-07-26,17.0,Medium
ORD132921,RNL,1,2026-01-31,19.0,High
ORD166112,JZT,1,2026-03-13,17.0,High
ORD138455,OZB,3,2026-03-14,19.0,High
ORD130931,NRP,4,2025-11-02,15.0,High
ORD182267,RNL,1,2025-12-25,19.0,High
ORD123259,NUD,8,2025-06-04,11.0,High
ORD123891,GWD,2,2025-12-17,24.0,High
ORD183578,XRZ,1,2025-11-19,23.0,Medium
ORD131481,SPG,4,2026-04-09,25.0,Medium
ORD169047,NFQ,1,2026-04-16,10.0,High
ORD144547,RYE,7,2025-11-18,16.0,High
ORD154335,WXE,7,2026-05-18,12.0,High
ORD106776,LER,1,2026-03-13,20.0,High
ORD186588,WFV,4,2026-03-04,6.0,High
ORD198662,KCJ,1,2026-03-17,10.0,High
ORD182353,BES,2,2026-02-03,15.0,High
ORD161701,WOW,7,2026-01-21,15.0,High
ORD191818,GWD,2,2026-05-08,24.0,High
ORD126807,SPV,1,2025-11-09,6.0,High
ORD166406,SNC,9,2026-03-25,12.0,High
ORD167174,DXB,5,2026-02-09,8.0,High
ORD145913,KYB,9,2026-02-05,18.0,Medium
ORD139386,MZV,4,2026-05-24,8.0,Medium
ORD156367,YYO,4,2025-12-20,13.0,High
ORD148494,VJG,5,2026-03-22,10.0,High
ORD161729,JUG,9,2026-05-20,17.0,High
ORD122016,IGP,10,2025-11-11,9.0,High
ORD130515,CXQ,2,2026-03-07,17.0,High
ORD148897,FLH,8,2025-07-25,10.0,High
ORD113860,JZT,4,2026-04-29,17.0,High
ORD126279,JZT,5,2025-07-10,17.0,High
ORD198777,LPS,4,2025-07-23,25.0,High
ORD107356,OJI,9,2025-08-31,12.0,Medium
ORD114774,RNL,7,2026-04-25,19.0,High
ORD154465,OVY,4,2026-01-27,8.0,Medium
ORD198255,SCN,2,2026-05-09,20.0,High
ORD108428,CAT,1,2025-10-26,12.0,Low
ORD177578,DXB,2,2026-05-31,8.0,High
ORD161377,WRS,1,2026-05-29,18.0,High
ORD140850,PKF,2,2025-09-03,16.0,Medium
ORD131462,RIJ,4,2026-05-02,12.0,Low
ORD137117,FLH,1,2026-01-01,10.0,High
ORD163621,QEU,1,2025-08-04,23.0,Medium
ORD135020,GWD,5,2026-01-01,24.0,High
ORD108063,EJV,1,2025-10-01,17.0,Low
ORD141630,SPC,1,2025-12-04,7.0,High
ORD119167,JZT,1,2025-12-06,17.0,High
ORD192598,OIT,1,2025-07-20,20.0,Medium
ORD107211,KCJ,3,2026-03-30,10.0,High
ORD122820,ILE,4,2026-04-21,14.0,Medium
ORD192317,EVW,4,2025-06-24,7.0,High
ORD161746,IGP,2,2025-09-15,9.0,High
ORD139502,SPG,5,2026-02-11,25.0,Medium
ORD161890,GWD,3,2026-04-05,24.0,High
