sku,product_name,category,brand,demand,price,cost
DXB,Conditioner,Haircare,LuxBeauty,High,8.0,3.2
XJB,Body Butter,Bodycare,PamperBeauty,Low,8.0,4.0
VJG,Sunscreen,Skincare,LovelyBeauty,High,10.0,5.5
RBX,Body Oil,Bodycare,GlowAndShow,High,21.0,8.4
BDV,Cuticle Pusher,Nailcare,LuxBeauty,Low,14.0,9.8
CGW,Face Mask,Skincare,Skinore,Medium,11.0,6.6
JUC,Cuticle Oil,Nailcare,RenewBeauty,Medium,10.0,5.5
CSM,Body Serum,Bodycare,LovelyBeauty,Medium,14.0,9.1
NTQ,Foot Cream,Bodycare,GlowAndShow,Low,10.0,7.0
QIE,Hairspray,Haircare,GlowAndShow,Low,7.0,3.5
HQD,Cuticle Remover,Nailcare,CareForSelf,Low,11.0,5.5
GRT,Loofah,Bodycare,RenewBeauty,Medium,8.0,4.8
PSJ,Cleanser,Skincare,EurBeauty,High,7.0,3.5
OYF,Sunscreen,Skincare,GlowAndShow,High,6.0,2.7
YZD,Razor,Bodycare,LuxBeauty,High,15.0,9.0
YYO,Lotion,Bodycare,CareForSelf,High,13.0,5.85
LMQ,Toner,Skincare,PamperBeauty,High,20.0,14.0
FCF,Spot Treatment,Skincare,LuxBeauty,Low,5.0,3.0
KCJ,Spot Treatment,Skincare,LovelyBeauty,High,10.0,6.5
ESQ,Sea Salt Spray,Haircare,LovelyBeauty,Low,13.0,7.15
QJK,Dry Shampoo,Haircare,Skinore,Low,23.0,14.95
YBM,Shower Oil,Bodycare,EurBeauty,Low,5.0,2.5
XVX,Moisturiser,Skincare,PamperBeauty,High,23.0,9.2
ZGM,Bond Builder,Haircare,EurBeauty,High,17.0,7.65
LNZ,Sea Salt Spray,Haircare,GlowAndShow,Medium,12.0,8.4
CZS,Shower Gel,Bodycare,GlowAndShow,Medium,6.0,3.9
HSD,Loofah,Bodycare,LovelyBeauty,High,10.0,5.0
JLQ,Shower Oil,Bodycare,GlowAndShow,High,23.0,12.65
EJV,Nail File,Nailcare,EurBeauty,Low,17.0,10.2
TIJ,Hair Mask,Haircare,EurBeauty,Low,23.0,11.5
DRD,Hair Mask,Haircare,CareForSelf,Low,17.0,11.05
NRP,Heat Protectant,Haircare,CareForSelf,High,15.0,9.0
SPV,Heat Protectant,Haircare,PamperBeauty,High,6.0,3.3
RCW,Spot Treatment,Skincare,LovelyBeauty,High,23.0,14.95
BKE,Nail Strengthener,Nailcare,GlowAndShow,Medium,20.0,8.0
RRI,Shower Oil,Bodycare,Skinore,Medium,11.0,4.4
ZQH,Shampoo,Haircare,LuxBeauty,High,9.0,3.6
FLH,Dry Shampoo,Haircare,CareForSelf,High,10.0,5.0
MWM,Cuticle Remover,Nailcare,EurBeauty,Medium,14.0,9.8
FNU,Face Mask,Skincare,Skinore,Low,8.0,3.6
RNL,Moisturiser,Skincare,EurBeauty,High,19.0,11.4
QAG,Body Serum,Bodycare,LovelyBeauty,High,18.0,8.1
SCN,Bond Builder,Haircare,GlowAndShow,High,20.0,12.0
ADM,Body Oil,Bodycare,RenewBeauty,High,20.0,10.0
FKQ,Nail Polish,Nailcare,EurBeauty,High,13.0,7.15
LPS,Lip Balm,Skincare,Skinore,High,25.0,13.75
LYE,Hair Oil,Haircare,GlowAndShow,Low,19.0,12.35
YOK,Gel,Haircare,LovelyBeauty,Medium,14.0,9.1
OJI,Dry Shampoo,Haircare,PamperBeauty,Medium,12.0,5.4
UYZ,Toner,Skincare,LuxBeauty,Low,22.0,9.9
THQ,Razor,Bodycare,GlowAndShow,Low,5.0,2.75
JZT,Mousse,Haircare,RenewBeauty,High,17.0,11.9
XIM,Shaving Cream,Bodycare,LovelyBeauty,Medium,12.0,6.0
EGB,Toner,Skincare,PamperBeauty,Low,13.0,9.1
OBP,Hair Serum,Haircare,RenewBeauty,Low,5.0,3.25
VGB,Loofah,Bodycare,LuxBeauty,Low,6.0,2.4
JUG,Toner,Skincare,LuxBeauty,High,17.0,11.9
CQK,Moisturiser,Skincare,CareForSelf,Medium,7.0,4.2
BRX,Cleanser,Skincare,CareForSelf,Low,15.0,9.0
NNV,Hairspray,Haircare,CareForSelf,Low,12.0,7.8
ZUW,Cuticle Remover,Nailcare,EurBeauty,Medium,22.0,11.0
IGP,Heat Protectant,Haircare,CareForSelf,High,9.0,4.95
XRZ,Eye Cream,Skincare,RenewBeauty,Medium,23.0,10.35
SPG,Shaving Cream,Bodycare,Skinore,Medium,25.0,15.0
LQT,Razor,Bodycare,LuxBeauty,Medium,20.0,11.0
TRB,Body Oil,Bodycare,GlowAndShow,Medium,12.0,4.8
QEU,Nail File,Nailcare,EurBeauty,Medium,23.0,10.35
INT,Shampoo,Haircare,RenewBeauty,Low,18.0,11.7
WOW,Nail Strengthener,Nailcare,Skinore,High,15.0,6.75
LER,Cuticle Remover,Nailcare,LuxBeauty,High,20.0,9.0
GXL,Heat Protectant,Haircare,CareForSelf,Medium,11.0,4.95
SPC,Shaving Cream,Bodycare,GlowAndShow,High,7.0,2.8
OQN,Body Oil,Bodycare,RenewBeauty,High,18.0,11.7
IWO,Bath Bomb,Bodycare,EurBeauty,Low,17.0,10.2
IPE,Sunscreen,Skincare,CareForSelf,Medium,20.0,9.0
MJP,Sea Salt Spray,Haircare,LuxBeauty,Low,22.0,11.0
FCY,Bath Bomb,Bodycare,LuxBeauty,High,18.0,9.9
MYU,Mousse,Haircare,LuxBeauty,Low,11.0,4.95
EVW,Serum,Skincare,EurBeauty,High,7.0,4.2
CEG,Bath Salt,Bodycare,LovelyBeauty,High,15.0,9.0
DIY,Acetone,Nailcare,GlowAndShow,Low,12.0,7.2
HGC,Nail Strengthener,Nailcare,EurBeauty,Low,14.0,7.0
PBM,Shower Gel,Bodycare,PamperBeauty,Medium,19.0,10.45
ZDV,Body Oil,Bodycare,CareForSelf,Medium,25.0,12.5
XMO,Body Butter,Bodycare,EurBeauty,Medium,24.0,10.8
