sku,product_name,category,brand,demand,price,cost
CKR,Cleanser,Skincare,RenewBeauty,Low,24.0,9.6
QZY,Hairspray,Haircare,PamperBeauty,High,24.0,12.0
CPS,Dry Shampoo,Haircare,PamperBeauty,Low,19.0,11.4
LKY,Cleanser,Skincare,Skinore,High,6.0,3.3
BLA,Sea Salt Spray,Haircare,LuxBeauty,High,7.0,2.8
YAE,Lotion,Bodycare,GlowAndShow,High,22.0,11.0
HHN,Scalp Exfoliator,Haircare,EurBeauty,Low,14.0,5.6
MSS,Nail Strengthener,Nailcare,GlowAndShow,Low,11.0,6.05
CPW,Moisturiser,Skincare,Skinore,Medium,22.0,15.4
BCD,Lip Balm,Skincare,GlowAndShow,Medium,17.0,7.65
WSQ,Acetone,Nailcare,EurBeauty,Medium,21.0,10.5
DQR,Eye Cream,Skincare,EurBeauty,Low,21.0,14.7
RXX,Spot Treatment,Skincare,PamperBeauty,High,18.0,9.0
SCC,Serum,Skincare,LuxBeauty,High,19.0,11.4
QTN,Heat Protectant,Haircare,RenewBeauty,High,25.0,10.0
JRM,Face Mask,Skincare,PamperBeauty,High,13.0,9.1
UJI,Shaving Cream,Bodycare,PamperBeauty,Low,19.0,11.4
RNO,Razor,Bodycare,LuxBeauty,Low,8.0,5.6
PRR,Bath Salt,Bodycare,PamperBeauty,High,18.0,9.0
ULD,Loofah,Bodycare,EurBeauty,High,14.0,5.6
HDN,Sunscreen,Skincare,LovelyBeauty,High,18.0,10.8
KIK,Dry Shampoo,Haircare,EurBeauty,Low,16.0,11.2
FYL,Cuticle Pusher,Nailcare,CareForSelf,Medium,18.0,9.0
GNG,Hair Oil,Haircare,Skinore,Low,17.0,7.65
THY,Cuticle Pusher,Nailcare,Skinore,Low,16.0,6.4
OXT,Body Serum,Bodycare,Skinore,High,23.0,16.1
CND,Bar Soap,Bodycare,LovelyBeauty,Medium,25.0,17.5
LNR,Cuticle Oil,Nailcare,PamperBeauty,Medium,18.0,9.9
WKP,Loofah,Bodycare,RenewBeauty,Low,21.0,8.4
ZAJ,Hair Serum,Haircare,Skinore,Low,5.0,3.5
LJI,Shampoo,Haircare,EurBeauty,Low,25.0,16.25
PYC,Shaving Cream,Bodycare,CareForSelf,High,7.0,3.5
SMW,Scalp Exfoliator,Haircare,CareForSelf,High,15.0,6.75
XAT,Moisturiser,Skincare,LuxBeauty,Low,18.0,9.9
IEA,Shampoo,Haircare,Skinore,Low,9.0,4.05
WYE,Hairspray,Haircare,GlowAndShow,Low,12.0,8.4
TGQ,Face Mask,Skincare,LovelyBeauty,High,22.0,15.4
IEE,Nail File,Nailcare,GlowAndShow,Medium,18.0,10.8
OEQ,Loofah,Bodycare,LuxBeauty,Low,23.0,12.65
ZAQ,Nail Strengthener,Nailcare,RenewBeauty,Low,19.0,7.6
TOT,Nail Strengthener,Nailcare,EurBeauty,High,15.0,10.5
KZP,Sea Salt Spray,Haircare,GlowAndShow,High,16.0,8.0
WDW,Sea Salt Spray,Haircare,PamperBeauty,High,24.0,12.0
NUJ,Body Oil,Bodycare,CareForSelf,High,19.0,11.4
ANG,Cuticle Remover,Nailcare,LovelyBeauty,High,20.0,10.0
GOE,Acetone,Nailcare,RenewBeauty,Medium,14.0,7.0
YNQ,Mousse,Haircare,CareForSelf,Low,15.0,7.5
PCC,Dry Shampoo,Haircare,PamperBeauty,Low,23.0,10.35
SJE,Toner,Skincare,Skinore,Medium,16.0,8.8
EZT,Deodorant,Bodycare,CareForSelf,Medium,21.0,14.7
XNK,Face Mask,Skincare,CareForSelf,Low,13.0,6.5
QBW,Moisturiser,Skincare,LuxBeauty,Medium,6.0,3.6
HDB,Bar Soap,Bodycare,LuxBeauty,Low,17.0,9.35
AGO,Nail File,Nailcare,RenewBeauty,Low,5.0,2.0
EBK,Foot Cream,Bodycare,EurBeauty,High,5.0,2.25
YJD,Sea Salt Spray,Haircare,PamperBeauty,High,7.0,3.85
IFM,Sunscreen,Skincare,RenewBeauty,Medium,9.0,4.95
MNA,Hair Oil,Haircare,CareForSelf,Low,16.0,11.2
VTP,Cleanser,Skincare,LuxBeauty,Low,18.0,9.9
RSD,Lip Balm,Skincare,CareForSelf,Medium,7.0,4.9
KST,Toner,Skincare,LuxBeauty,Low,11.0,6.6
HIF,Bath Salt,Bodycare,GlowAndShow,Low,7.0,3.15
LQG,Dry Shampoo,Haircare,PamperBeauty,Low,15.0,7.5
HRA,Gel,Haircare,LuxBeauty,Medium,9.0,4.5
AES,Shower Gel,Bodycare,RenewBeauty,Medium,5.0,2.0
ITS,Sunscreen,Skincare,Skinore,Low,21.0,8.4
URT,Hair Serum,Haircare,GlowAndShow,High,5.0,3.0
LWI,Serum,Skincare,EurBeauty,High,22.0,13.2
BKO,Foot Cream,Bodycare,GlowAndShow,Medium,25.0,11.25
DFA,Toner,Skincare,LuxBeauty,High,11.0,6.6
UNJ,Body Scrub,Bodycare,LovelyBeauty,Medium,17.0,10.2
DRC,Loofah,Bodycare,Skinore,High,6.0,2.7
ZYZ,Hair Serum,Haircare,CareForSelf,Low,5.0,2.0
BVB,Conditioner,Haircare,CareForSelf,Low,10.0,4.0
JNU,Loofah,Bodycare,RenewBeauty,Low,12.0,5.4
ODJ,Sunscreen,Skincare,Skinore,Low,18.0,11.7
JRB,Hair Serum,Haircare,Skinore,Medium,17.0,11.9
XCU,Shower Gel,Bodycare,GlowAndShow,High,18.0,10.8
FBC,Hair Serum,Haircare,RenewBeauty,Medium,16.0,7.2
YHT,Cuticle Oil,Nailcare,RenewBeauty,Low,14.0,8.4
WBF,Mousse,Haircare,EurBeauty,High,23.0,10.35
FQP,Exfoliator,Skincare,CareForSelf,Medium,17.0,11.05
MDN,Bath Salt,Bodycare,GlowAndShow,Low,16.0,9.6
JPX,Exfoliator,Skincare,RenewBeauty,Low,18.0,12.6
ZGL,Scalp Exfoliator,Haircare,CareForSelf,Medium,7.0,4.2
BVD,Mousse,Haircare,LovelyBeauty,High,25.0,13.75
SKK,Moisturiser,Skincare,EurBeauty,High,6.0,3.9
CQO,Body Serum,Bodycare,LuxBeauty,High,19.0,9.5
MLR,Sunscreen,Skincare,GlowAndShow,Low,7.0,2.8
VWS,Shower Oil,Bodycare,LovelyBeauty,Low,22.0,13.2
RGO,Loofah,Bodycare,EurBeauty,Low,24.0,15.6
YND,Cuticle Remover,Nailcare,LuxBeauty,Low,21.0,11.55
DUO,Bath Bomb,Bodycare,GlowAndShow,High,23.0,11.5
DYL,Exfoliator,Skincare,LovelyBeauty,Medium,21.0,14.7
GTL,Shower Gel,Bodycare,GlowAndShow,Low,18.0,7.2
JFY,Shaving Cream,Bodycare,RenewBeauty,High,8.0,3.6
WQQ,Loofah,Bodycare,RenewBeauty,Medium,23.0,14.95
DNM,Deodorant,Bodycare,CareForSelf,High,10.0,6.0
CBT,Eye Cream,Skincare,EurBeauty,Low,23.0,13.8
BFL,Shower Gel,Bodycare,PamperBeauty,Low,13.0,7.8
GBP,Nail Clippers,Nailcare,Skinore,Low,7.0,3.85
SSY,Toner,Skincare,Skinore,Medium,18.0,9.0
SVR,Moisturiser,Skincare,EurBeauty,Low,18.0,8.1
HEM,Moisturiser,Skincare,LuxBeauty,Medium,5.0,3.0
